"FID_";"TABID";"POINT_X";"POINT_Y";"demH"
;1348181;8.2837;61.8117;1905
;1348182;8.3026;61.8127;1894
;1348183;8.3214;61.8136;1928
;1348184;8.3403;61.8145;1832
;1349375;8.2668;61.8019;1909
;1349376;8.2857;61.8028;1760
;1349377;8.3045;61.8037;1600
;1349378;8.3233;61.8047;1702
;1349379;8.3422;61.8056;1619
;1350569;8.25;61.7921;1790
;1350570;8.2688;61.793;1724
;1350571;8.2876;61.7939;1698
;1350572;8.3064;61.7948;1608
;1350573;8.3253;61.7958;1455
;1350574;8.3441;61.7967;1459
;1350575;8.363;61.7976;1431
;1350578;8.4195;61.8003;1261
;1350579;8.4383;61.8012;668
;1351763;8.2331;61.7822;1847
;1351764;8.2519;61.7831;1650
;1351765;8.2707;61.7841;1520
;1351766;8.2896;61.785;1524
;1351767;8.3084;61.7859;1421
;1351768;8.3272;61.7868;1359
;1351769;8.3461;61.7878;1379
;1351770;8.3649;61.7887;1335
;1351771;8.3837;61.7896;1410
;1351772;8.4026;61.7905;1386
;1351773;8.4214;61.7914;1124
;1351774;8.4402;61.7923;516
;1351775;8.4591;61.7932;852
;1351776;8.4779;61.7941;1271
;1351777;8.4968;61.795;1397
;1352956;8.1974;61.7714;1880
;1352957;8.2162;61.7724;1796
;1352958;8.2351;61.7733;1577
;1352959;8.2539;61.7742;1593
;1352960;8.2727;61.7752;1507
;1352961;8.2915;61.7761;1372
;1352962;8.3104;61.777;1325
;1352963;8.3292;61.7779;1280
;1352964;8.348;61.7788;1251
;1352965;8.3668;61.7798;1212
;1352966;8.3857;61.7807;1288
;1352967;8.4045;61.7816;1230
;1352968;8.4233;61.7825;684
;1352969;8.4422;61.7834;509
;1352970;8.461;61.7843;957
;1352971;8.4798;61.7852;1117
;1352972;8.4987;61.7861;1186
;1352973;8.5175;61.787;1218
;1352974;8.5363;61.7879;1242
;1354150;8.1806;61.7616;1762
;1354151;8.1994;61.7625;1572
;1354152;8.2182;61.7634;1565
;1354153;8.237;61.7644;1528
;1354154;8.2558;61.7653;1455
;1354155;8.2746;61.7662;1344
;1354156;8.2935;61.7672;1385
;1354157;8.3123;61.7681;1461
;1354158;8.3311;61.769;1356
;1354159;8.3499;61.7699;1260
;1354160;8.3687;61.7708;1015
;1354161;8.3876;61.7717;1002
;1354162;8.4064;61.7727;853
;1354163;8.4252;61.7736;487
;1354164;8.4441;61.7745;885
;1354165;8.4629;61.7754;1032
;1354166;8.4817;61.7763;1070
;1354167;8.5006;61.7772;1154
;1354168;8.5194;61.7781;1248
;1354169;8.5382;61.779;1316
;1355344;8.1638;61.7517;1915
;1355345;8.1826;61.7527;1795
;1355346;8.2014;61.7536;1662
;1355347;8.2202;61.7545;1474
;1355348;8.239;61.7555;1410
;1355349;8.2578;61.7564;1398
;1355350;8.2766;61.7573;1427
;1355351;8.2954;61.7582;1720
;1355352;8.3142;61.7592;1647
;1355353;8.333;61.7601;1528
;1355354;8.3519;61.761;1324
;1355355;8.3707;61.7619;1230
