Type        no.  INTER_MAX       EPOT_PAR        WET_PER_CORR    ACC_TEMP        MELT_TEMP       SNOW_MELT_RATE  ICE_MELT_RATE   FREEZE_EFF      MAX_REL         ALBEDO          CV_SNOW         TREE_Height     LAI             LAI_CORR        Bulk_Resistance albedo_snow     decid           wind_H          Topen_min       Tclose_min      VPDclose        VPDopen         gh              cl              z0g             gsmax           CR              D50             Q50
OPEN        0    4.0000E-04      1.150880E-03    0.8             0               -.63874787      .001732051      5.0e-3	      0.01            0.08            0.14            0.30            0.20            2.00            0.50            40.00           0.57            0.00            2.20            8.80            -8.00           4400            650             0.04            0.0065          0.0100          0.0060          0.60            0.70            30.00
BOG         1    4.0000E-04      3.705520E-03    0.8             0               -.63874787      .001732051      5.0e-3      0.01            0.08            0.13            0.30            0.50            2.00            0.50            50.00           0.58            0.00            2.50            8.80            -8.00           4400            650             0.04            0.0065          0.0100          0.0066          0.60            0.70            30.00
Built-up    2    4.0000E-04      2.450000E-04    0.8             0               -.63874787      .001732051      5.0e-3      0.01            0.08            0.13            0.30            10.00           2.00            0.50            0.00            0.14            0.00            12.00           12.02           -8.00           4200            650             0.02            0.0070          0.0200          0.0060          0.60            0.70            30.00
Cropland    3    1.0000E-03      2.259270E-03    0.8             0               -.63874787      .001732051      5.0e-3      0.01            0.08            0.15            0.30            2.00            5.00            0.50            40.00           0.32            2.00            4.00            12.02           -8.00           4500            650             0.02            0.0070          0.0100          0.0110          0.60            0.70            30.00
HEATHER     4    2.0000E-04      3.650000E-06    0.8             0               -.63874787      .001732051      5.0e-3      0.01            0.08            0.15            0.30            0.30            1.00            0.50            15.00           0.64            0.00            2.30            12.02           -8.00           4200            650             0.02            0.0070          0.0200          0.0060          0.60            0.70            30.00
BEDROCK     5    2.0000E-06      2.548610E-03    0.8             0               -.63874787      .001732051      5.0e-3      0.01            0.08            0.12            0.30            0.10            0.01            0.50            0.00            0.60            0.00            2.10            12.02           -8.00           4200            650             0.02            0.0070          0.0010          0.0090          0.60            0.70            30.00
spruce_1    6    2.8000E-04      1.040000E-05    0.8             0               -.218594111     .0022482404     5.0e-3      0.01            0.08            0.13            0.30            7.50            1.40            0.50            70.00           0.36            3.00            17.50           8.31            -8.00           3000            650             0.04            0.0032          0.0200          0.0057          0.60            0.70            30.00
spruce_2    7    8.6000E-04      1.040000E-05    0.8             0               -.218594111     .0022482404     5.0e-3      0.01            0.08            0.12            0.30            12.30           4.30            0.50            70.00           0.32            3.00            22.30           8.31            -8.00           3000            650             0.04            0.0032          0.0200          0.0057          0.60            0.70            30.00
spruce_3    8    1.3400E-03      1.040000E-05    0.8             0               -.218594111     .0022482404     5.0e-3      0.01            0.08            0.10            0.30            16.80           6.70            0.50            70.00           0.18            3.00            26.80           8.31            -8.00           3000            650             0.04            0.0032          0.0200          0.0057          0.60            0.70            30.00
spruce_4    9    1.8200E-03      1.040000E-05    0.8             0               -.218594111     .0022482404     5.0e-3      0.01            0.08            0.09            0.30            22.00           9.10            0.50            70.00           0.13            3.00            32.00           8.31            -8.00           3000            650             0.04            0.0032          0.0200          0.0057          0.60            0.70            30.00
pine_1      10   1.8000E-04      1.040000E-05    0.8             0               -.218594111     .0022482404     5.0e-3     0.01            0.08            0.12            0.30            7.50            0.90            0.50            70.00           0.40            3.00            17.50           8.31            -8.00           3000            650             0.04            0.0032          0.0200          0.0057          0.60            0.70            30.00
pine_2      11   4.8000E-04      1.040000E-05    0.8             0               -.218594111     .0022482404     5.0e-3      0.01            0.08            0.10            0.30            11.60           2.40            0.50            70.00           0.30            3.00            21.60           8.31            -8.00           3000            650             0.04            0.0032          0.0200          0.0057          0.60            0.70            30.00
