Type         no.  INTER_MAX    EPOT_PAR      WET_PER_CORR   ACC_TEMP   MELT_TEMP    SNOW_MELT_RATE   ICE_MELT_RATE   FREEZE_EFF   MAX_REL   ALBEDO  CV_SNOW
LANDSURF_1    0   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0
LANDSURF_2    1   1.31303E-4   2.05767E-4    0.8            0.0        -.40599000   .003511695       1.0             0.01         0.08      0.90    0.15
LANDSURF_3    2   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.15
LANDSURF_4    3   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0
LANDSURF_5    4   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0
LANDSURF_6    5   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0          
LANDSURF_7    6   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0          
LANDSURF_8    7   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0 
LANDSURF_9    8   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0 
LANDSURF_10   9   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0 
LANDSURF_11  10   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0 
LANDSURF_12  11   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0 
LANDSURF_13  12   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0 
LANDSURF_14  13   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0 
LANDSURF_15  14   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0 
LANDSURF_16  15   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0 
LANDSURF_17  16   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0 
LANDSURF_18  17   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0 
LANDSURF_19  18   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0 
LANDSURF_20  19   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0 
GLACIER      20   .001093145   .001000000    0.8            0.0        .652504000   .002989117       1.0             0.01         0.08      0.90    0.0 
