Type     no.  FC           FCDEL        BETA        INFMAX    KUZ          ALFA          PERC         KLZ          DRAW
SOIL_1    0   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_2    1   .050000000   1.00000000   1.00000000  50.0      .560245300   1.225399300   .001047811   .006792247   0.0
SOIL_3    2   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_4    3   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_5    4   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_6    5   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_7    6   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_8    7   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_9    8   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_10   9   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_11  10   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_12  11   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_13  12   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_14  13   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_15  14   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_16  15   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_17  16   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_18  17   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_19  18   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
SOIL_20  19   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
GLACIER  20   .188733100   1.00000000   1.00000000  50.0      .172320600   1.291136200   .001000000   .003066300   0.0
