*Time*          *Precip*      *Precip*     *Precip*     *Temp*         *Temp*         *Temp*
                 Selbu         Berkaak      Roros        Selbu          Berkaak        Roros      
19870701/1200    2.400000      1.400000     6.599999     11.400000      9.600000       9.300000           
19870702/1200    15.699999     29.299999    8.299999     9.900000       8.700000       9.200000           
19870703/1200    10.099999     2.500000     5.200000     10.300000      9.800000       9.300000           
19870704/1200    0.000000      1.300000     4.900000     14.100000      11.500000      11.900000          
19870705/1200    4.700000      2.700000     1.000000     13.500000      13.100000      13.400000          
19870706/1200    4.000000      0.400000     0.500000     14.400000      12.500000      13.200000          
19870707/1200    7.500000      4.100000     3.800000     12.400000      11.300000      13.600000          
19870708/1200    11.499999     7.199999     10.499999    9.600000       9.000000       8.900000           
19870709/1200    2.100000      3.600000     0.000000     10.500000      8.100000       8.500000           
19870710/1200    0.500000      1.100000     0.000000     9.000000       7.000000       7.400000           
19870711/1200    10.900000     6.099999     0.100000     8.800000       8.400000       7.600000           
19870712/1200    0.300000      0.300000     0.000000     8.900000       8.100000       8.500000           
19870713/1200    3.400000      0.000000     0.000000     8.400000       7.600000       7.500000           
19870714/1200    2.000000      0.100000     0.000000     12.100000      12.400000      12.200000          
19870715/1200    0.000000      0.000000     0.000000     16.799999      15.000000      13.000000          
19870716/1200    0.000000      0.000000     0.000000     19.200001      16.299999      15.100000          
19870717/1200    0.000000      0.000000     0.000000     19.600000      17.500000      16.000000          
19870718/1200    0.000000      0.000000     0.000000     19.400000      17.000000      15.000000          
19870719/1200    0.000000      0.000000     0.000000     19.900000      17.500000      14.900000          
19870720/1200    0.000000      0.000000     0.000000     20.200001      16.000000      17.400000          
19870721/1200    0.000000      0.000000     0.000000     17.600000      16.500000      16.000000          
19870722/1200    0.000000      0.000000     0.000000     16.299999      16.200001      15.100000          
19870723/1200    0.000000      0.000000     0.000000     14.600000      14.500000      14.600000          
19870724/1200    4.600000      6.000000     0.700000     12.100000      10.600000      10.500000          
19870725/1200    14.599999     8.999999     9.200000     9.300000       7.400000       7.800000           
19870726/1200    22.900000     9.600000     1.500000     9.000000       7.100000       7.600000           
19870727/1200    13.599999     3.700000     0.000000     9.600000       8.300000       9.400000           
19870728/1200    15.099999     8.500000     3.400000     9.500000       8.500000       8.500000           
19870729/1200    1.000000      1.000000     2.500000     10.400000      9.500000       9.100000           
19870730/1200    0.500000      3.800000     3.000000     9.900000       8.800000       9.000000           
19870731/1200    2.500000      6.000000     0.800000     10.800000      8.900000       7.400000           
19870801/1200    0.500000      1.000000     0.400000     11.100000      8.700000       11.700000          
19870802/1200    2.300000      4.100000     10.999999    10.700000      9.100000       8.200000           
19870803/1200    15.599998     12.400000    12.799999    9.300000       7.700000       8.700000           
19870804/1200    5.500000      6.500000     0.500000     10.100000      8.200000       8.900000           
19870805/1200    5.800000      2.500000     0.800000     8.500000       7.100000       7.500000           
19870806/1200    21.500000     5.599999     2.000000     10.200000      7.800000       7.900000           
19870807/1200    8.799999      3.500000     2.500000     13.700000      11.100000      10.700000          
19870808/1200    0.000000      0.100000     0.000000     12.000000      10.200000      8.700000           
19870809/1200    0.000000      0.000000     0.100000     11.600000      9.900000       8.000000           
19870810/1200    0.000000      0.000000     0.000000     10.700000      8.900000       7.900000           
19870811/1200    0.000000      0.000000     0.000000     11.200000      7.800000       7.200000           
19870812/1200    0.000000      0.000000     0.000000     8.500000       6.900000       6.100000           
19870813/1200    0.000000      0.000000     0.000000     10.400000      9.800000       11.000000          
19870814/1200    0.000000      0.000000     0.000000     10.700000      8.700000       7.800000           
19870815/1200    0.000000      0.000000     4.200000     11.600000      9.500000       7.600000           
19870816/1200    0.800000      5.000000     4.200000     11.200000      10.100000      10.500000          
19870817/1200    0.000000      0.000000     0.000000     10.300000      8.500000       8.300000           
19870818/1200    2.000000      3.100000     1.800000     12.300000      11.600000      12.700000          
19870819/1200    21.500000     12.599999    2.600000     11.400000      10.500000      10.900000              
19870820/1200    4.200000      3.400000     0.200000     13.100000      11.600000      12.600000          
19870821/1200    5.500000      2.000000     2.200000     15.600000      15.300000      13.100000          
