Type         no.  INTER_MAX    EPOT_PAR     WET_PER_CORR   ACC_TEMP   MELT_TEMP    SNOW_MELT_RATE   ICE_MELT_RATE   FREEZE_EFF   MAX_REL   ALBEDO  CV_SNOW
LANDSURF_1    0   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0	
LANDSURF_2    1   5.69508E-4   2.94351E-6   0.8            0.0        1.56845507   .016996792       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_3    2   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_4    3   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_5    4   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_6    5   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_7    6   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_8    7   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_9    8   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_10   9   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_11  10   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_12  11   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_13  12   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_14  13   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_15  14   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_16  15   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_17  16   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_18  17   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_19  18   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_20  19   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
GLACIER      20   4.44344E-4   3.72888E-4   0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
