Type     no.  FC           FCDEL       BETA         INFMAX       KUZ          ALFA          PERC         KLZ          DRAW
SOIL_1    0   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_2    1   .134520913   1.00000000  1.91525153   50.0         .124039265   .667240949   .001000000   .012002033   0.0
SOIL_3    2   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_4    3   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_5    4   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_6    5   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_7    6   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_8    7   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_9    8   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_10   9   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_11  10   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_12  11   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_13  12   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_14  13   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_15  14   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_16  15   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_17  16   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_18  17   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_19  18   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
SOIL_20  19   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
GLACIER  20   .248818452   1.00000000  1.00000000   50.0         .569729792   .848448250   .009071747   .100000000   0.0
