Type    no.  INTER_MAX         EPOT_PAR     WET_PER_CORR   ACC_TEMP   MELT_TEMP    SNOW_MELT_RATE   ICE_MELT_RATE   FREEZE_EFF   MAX_REL   ALBEDO  CV_SNOW
LANDSURF_1    0   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0	
LANDSURF_2    1   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_3    2   5.00165E-4   1.03645E-5   0.8            0.0        .078703930   .002798957       5.0e-3          0.01         0.08      0.90    0.0	
LANDSURF_4    3   5.00165E-4   1.03645E-5   0.8            0.0        .078703930   .002798957       5.0e-3          0.01         0.08      0.90    0.0	
LANDSURF_5    4   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0	
LANDSURF_6    5   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0	
LANDSURF_7    6   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_8    7   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_9    8   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_10   9   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_11  10   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_12  11   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_13  12   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_14  13   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_15  14   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_16  15   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_17  16   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_18  17   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_19  18   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_20  19   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
GLACIER      20   5.00317E-4   1.03731E-5   0.8            0.0        .094344501   .003346678       5.0e-3          0.01         0.08      0.90    0.0
