Type     no.  FC           FCDEL        BETA        INFMAX    KUZ          ALFA         PERC         KLZ          DRAW
SOIL_1    0   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_2    1   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_3    2   .201754704   1.00000000   2.00065227  50.0      .083216519   1.00000000   .002134432   .005120282   0.0
SOIL_4    3   .201754704   1.00000000   2.00065227  50.0      .083216519   1.00000000   .002134432   .005120282   0.0
SOIL_5    4   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_6    5   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_7    6   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_8    7   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_9    8   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_10   9   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_11  10   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_12  11   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_13  12   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_14  13   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_15  14   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_16  15   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_17  16   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_18  17   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_19  18   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
SOIL_20  19   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
GLACIER  20   .201655453   1.00000000   2.00120852  50.0      .541037871   1.00000000   .001000000   .004841312   0.0
