Type         no.  INTER_MAX    EPOT_PAR     WET_PER_CORR   ACC_TEMP   MELT_TEMP    SNOW_MELT_RATE   ICE_MELT_RATE   FREEZE_EFF   MAX_REL   ALBEDO  CV_SNOW
LANDSURF_1    0   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0E-3          0.01         0.08      0.90    0.0
LANDSURF_2    1   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0E-3          0.01         0.08      0.90    0.0
LANDSURF_3    2   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0E-3          0.01         0.08      0.90    0.0
LANDSURF_4    3   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_5    4   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_6    5   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_7    6   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_8    7   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0E-3          0.01         0.08      0.90    0.0
LANDSURF_9    8   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0E-3          0.01         0.08      0.90    0.0
LANDSURF_10   9   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0E-3          0.01         0.08      0.90    0.0
LANDSURF_11  10   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_12  11   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_13  12   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_14  13   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_15  14   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0E-3          0.01         0.08      0.90    0.0
LANDSURF_16  15   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0E-3          0.01         0.08      0.90    0.0
LANDSURF_17  16   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0E-3          0.01         0.08      0.90    0.0
LANDSURF_18  17   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_19  18   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_20  19   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0e-3          0.01         0.08      0.90    0.0
GLACIER      20   2.42532E-4   5.73799E-6   0.8            0.0        -.02291600   .004107762       5.0e-3          0.01         0.08      0.90    0.0
