Type     no.  FC           BETA         FCDEL       INFMAX       KUZ          ALFA          PERC         KLZ          DRAW
SOIL_1    0   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_2    1   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_3    2   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_4    3   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_5    4   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_6    5   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_7    6   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_8    7   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_9    8   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_10   9   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_11  10   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_12  11   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_13  12   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_14  13   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_15  14   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_16  15   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_17  16   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_18  17   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_19  18   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
SOIL_20  19   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
GLACIER  20   .379900400   2.00000000   1.00000000  50.0         1.00000000   1.874028300   1.00000E-4   .013065078   0.0
