*Time*            *Precip*    *Temp*
Saeternbekken
19960820/0000     0       13.8              
19960820/0100     0       13.45             
19960820/0200     0       13.2              
19960820/0300     0       13.65             
19960820/0400     0       13.45             
19960820/0500     0       13.55             
19960820/0600     0.25    13.65             
19960820/0700     0       14.1              
19960820/0800     0       14.7              
19960820/0900     0.1     17.4              
19960820/1000     0       20.55             
19960820/1100     0       22.6              
19960820/1200     0       23.85             
19960820/1300     0       24.2              
19960820/1400     0       24.15             
19960820/1500     0       23.65             
19960820/1600     0       23.15             
19960820/1700     0       21.05             
19960820/1800     0       19.5              
19960820/1900     0       17.7              
19960820/2000     0       16.4              
19960820/2100     0       15.8              
19960820/2200     0       15.3              
19960820/2300     0       14.55             
19960821/0000     0       13.9              
19960821/0100     0       13.8              
19960821/0200     0       13.5              
19960821/0300     0       13.2              
19960821/0400     0       13.15             
19960821/0500     0       13.8              
19960821/0600     0       14.3              
19960821/0700     0       15.3              
19960821/0800     0.25    18.45             
19960821/0900     0       20.6              
19960821/1000     0       22                
19960821/1100     0       23.35             
19960821/1200     0       25.05             
19960821/1300     0       26.55             
19960821/1400     0       27                
19960821/1500     0       26.85             
19960821/1600     0       26.2              
19960821/1700     0       23.65             
19960821/1800     0       21.85             
19960821/1900     0       20                
19960821/2000     0       19.15             
19960821/2100     0       18.4              
19960821/2200     0       17.65             
19960821/2300     0       17.1              
19960822/0000     0       16.85             
19960822/0100     0       16.25             
19960822/0200     0       16                
19960822/0300     0       15.9              
19960822/0400     0       15.8              
19960822/0500     5.15    13.95             
19960822/0600     0.41    14                
19960822/0700     0       14.9              
19960822/0800     0       15                
19960822/0900     0       18.3              
19960822/1000     0       21.7              
19960822/1100     0       22.2              
19960822/1200     0       23.55             
19960822/1300     0       24.8              
19960822/1400     0       25.75             
19960822/1500     0       25.6              
19960822/1600     0       25                
19960822/1700     0       22.55             
19960822/1800     0       20.1              
19960822/1900     0       18.5              
19960822/2000     0       17.55             
19960822/2100     0       16.7              
19960822/2200     0       16.8              
19960822/2300     0       17.3              
19960823/0000     0       16.7              
19960823/0100     0       16.3              
19960823/0200     0       15.9              
19960823/0300     0       15.65             
19960823/0400     0       15.4              
19960823/0500     0       15.35             
19960823/0600     0       16.35             
19960823/0700     0.25    16.65             
19960823/0800     0       16.7              
19960823/0900     0       18.05             
19960823/1000     0       20.2              
19960823/1100     0       21.4              
19960823/1200     0       22.75             
19960823/1300     0       23.45             
19960823/1400     0       25                
19960823/1500     0       22.85             
19960823/1600     0       23.45             
19960823/1700     0       21.85             
19960823/1800     0       20.8              
19960823/1900     0       19.45             
19960823/2000     0       17.65             
19960823/2100     0       16.6              
19960823/2200     0       16.75             
19960823/2300     0       16.4              
19960824/0000     0       16.35             
19960824/0100     0       16                
19960824/0200     0       16.05             
19960824/0300     0       15.95             
19960824/0400     0       15.85             
19960824/0500     0       15.9              
19960824/0600     0       16.15             
19960824/0700     0       16.8              
19960824/0800     0       17.7              
19960824/0900     0       18.1              
19960824/1000     0       18.3              
19960824/1100     4.95    17.05             
19960824/1200     7.96    15.9              
19960824/1300     2.14    15.5              
19960824/1400     6.43    15                
19960824/1500     0.2     15.55             
19960824/1600     0       15.8              
19960824/1700     0       15.65             
19960824/1800     0.1     15.4              
19960824/1900     0.41    15.05             
19960824/2000     0.2     15.15             
19960824/2100     0.1     15.1              
19960824/2200     0       15.2              
19960824/2300     0       15.25             
19960825/0000     0       14.9              
19960825/0100     0       14.7              
19960825/0200     0       14.4              
19960825/0300     0       13.85             
19960825/0400     0       13.8              
19960825/0500     0       13.85             
19960825/0600     0       14                
19960825/0700     0       14.35             
19960825/0800     0       14.95             
19960825/0900     0       16.2              
19960825/1000     0       17.55             
19960825/1100     0       18.5              
19960825/1200     0       19                
19960825/1300     0       18.9              
19960825/1400     0       18.25             
19960825/1500     0       17.8              
19960825/1600     0.66    16.7              
19960825/1700     0.71    15.65             
19960825/1800     0       15.45             
19960825/1900     0       14.65             
19960825/2000     0       14.35             
19960825/2100     0       14.2              
19960825/2200     2.14    13.8              
19960825/2300     0.41    13.6              
19960826/0000     0       13.6              
19960826/0100     0       13.6              
19960826/0200     0       13.45             
19960826/0300     0       13.4              
19960826/0400     0       13.35             
19960826/0500     0       13.1              
19960826/0600     0       13.2              
19960826/0700     0.25    14.55             
19960826/0800     0       14.95             
19960826/0900     0       15.7              
19960826/1000     0       16.6              
19960826/1100     0       17.05             
19960826/1200     0       17.5              
19960826/1300     0       19.25             
19960826/1400     0       19.6              
19960826/1500     0       19.4              
19960826/1600     0       17.45             
19960826/1700     0       16.85             
19960826/1800     0       15.65             
19960826/1900     0       14.3              
19960826/2000     0       13.65             
19960826/2100     0       13.1              
19960826/2200     0       13.15             
19960826/2300     0       13.3              
19960827/0000     0       13.6              
19960827/0100     0       13.2              
19960827/0200     0       12.9              
19960827/0300     0       12.65             
19960827/0400     0       12.75             
19960827/0500     0       12.6              
19960827/0600     0.25    13.15             
19960827/0700     0       14.5              
19960827/0800     0       16.3              
19960827/0900     0       17.65             
19960827/1000     0       17.85             
19960827/1100     0       20.25             
19960827/1200     0       21.05             
19960827/1300     0       19.45             
19960827/1400     0.2     17.55             
19960827/1500     0       18                
19960827/1600     0       17.5              
19960827/1700     0.31    16                
19960827/1800     0.41    13.8              
19960827/1900     0.92    12.05             
19960827/2000     0       12.3              
19960827/2100     0       12.2              
19960827/2200     0       12.3              
19960827/2300     0       12.8              
19960828/0000     0       12.75             
19960828/0100     0       12.75             
19960828/0200     0       12.45             
19960828/0300     0       12.3              
19960828/0400     0       12.4              
19960828/0500     0       12.55             
19960828/0600     0       12.75             
19960828/0700     0       13.15             
19960828/0800     0       13.85             
19960828/0900     0       15.3              
19960828/1000     0       17.6              
19960828/1100     0       18.4              
19960828/1200     0       19.7              
19960828/1300     0       20.85             
19960828/1400     0       21.65             
19960828/1500     0       20.85             
19960828/1600     0       20.95             
19960828/1700     0       18.4              
19960828/1800     0       16.75             
19960828/1900     0       15.75             
19960828/2000     0       15.45             
19960828/2100     0       14.9              
19960828/2200     0       15                
19960828/2300     0       15                
19960829/0000     0       15                
19960829/0100     0       14.6              
19960829/0200     0       14.1              
19960829/0300     0       14.35             
19960829/0400     0       14.65             
19960829/0500     0       14.95             
19960829/0600     0       15.1              
19960829/0700     0       15.25             
19960829/0800     0       15.1              
19960829/0900     0       15.45             
19960829/1000     0.36    14.4              
19960829/1100     0.82    14.25             
19960829/1200     0.31    14.65             
19960829/1300     0.61    14.7              
19960829/1400     1.02    14.75             
19960829/1500     0.71    14.9              
19960829/1600     1.94    14.95             
19960829/1700     8.26    14.95             
19960829/1800     3.88    15.05             
19960829/1900     2.65    14.4              
19960829/2000     0.2     13.75             
19960829/2100     0.31    13.75             
19960829/2200     0       13.6              
19960829/2300     0       13.4              
19960830/0000     0       12.85             
19960830/0100     0       12.45             
19960830/0200     0       12.8              
19960830/0300     0       12.95             
19960830/0400     0       12.85             
19960830/0500     0       12.75             
